Topic,Characteristics,Note,Total,Flag_Total,Male,Flag_Male,Female,Flag_Female,Total,Flag_Total,Male,Flag_Male,Female,Flag_Female
Population and dwellings,Population; 2016,1,10,,,...,,...,35151728,,,...,,...
Population and dwellings,Population; 2011,1,,...,,...,,...,33476688,,,...,,...
Population and dwellings,Population percentage change; 2011 to 2016,,,...,,...,,...,5,,,...,,...
Population and dwellings,Total private dwellings,2,5,,,...,,...,15412443,,,...,,...
Population and dwellings,Private dwellings occupied by usual residents,3,3,,,...,,...,14072079,,,...,,...
Population and dwellings,Population density per square kilometre,,,...,,...,,...,3.9,,,...,,...
Population and dwellings,Land area in square kilometres,,,...,,...,,...,8965588.85,,,...,,...
Age characteristics,Total - Age groups and average age of the population - 100% data,4,,x,,x,,x,35151730,,17264200,,17887530,
Age characteristics,  0 to 14 years,,,x,,x,,x,5839565,,2992920,,2846645,
Age characteristics,    0 to 4 years,,,x,,x,,x,1898790,,973030,,925760,
Age characteristics,    5 to 9 years,,,x,,x,,x,2018130,,1034685,,983445,
Age characteristics,    10 to 14 years,,,x,,x,,x,1922645,,985200,,937445,
Age characteristics,  15 to 64 years,,,x,,x,,x,23376530,,11576130,,11800400,
Age characteristics,    15 to 19 years,,,x,,x,,x,2026160,,1039215,,986940,
Age characteristics,    20 to 24 years,,,x,,x,,x,2242690,,1144495,,1098200,
Age characteristics,    25 to 29 years,,,x,,x,,x,2285990,,1144470,,1141515,
Age characteristics,    30 to 34 years,,,x,,x,,x,2329395,,1148290,,1181110,
Age characteristics,    35 to 39 years,,,x,,x,,x,2288365,,1118635,,1169730,
Age characteristics,    40 to 44 years,,,x,,x,,x,2255135,,1104440,,1150695,
Age characteristics,    45 to 49 years,,,x,,x,,x,2359965,,1157760,,1202210,
Age characteristics,    50 to 54 years,,,x,,x,,x,2678075,,1318755,,1359320,
Age characteristics,    55 to 59 years,,,x,,x,,x,2620240,,1285190,,1335055,
Age characteristics,    60 to 64 years,,,x,,x,,x,2290510,,1114885,,1175630,
Age characteristics,  65 years and over,,,x,,x,,x,5935630,,2695150,,3240485,
Age characteristics,    65 to 69 years,,,x,,x,,x,1972480,,953075,,1019405,
Age characteristics,    70 to 74 years,,,x,,x,,x,1420875,,677975,,742900,
Age characteristics,    75 to 79 years,,,x,,x,,x,1021850,,469550,,552300,
Age characteristics,    80 to 84 years,,,x,,x,,x,749650,,325765,,423880,
Age characteristics,    85 years and over,,,x,,x,,x,770780,,268790,,501990,
Age characteristics,      85 to 89 years,,,x,,x,,x,482525,,185535,,296990,
Age characteristics,      90 to 94 years,,,x,,x,,x,223510,,68675,,154835,
Age characteristics,      95 to 99 years,,,x,,x,,x,56525,,13240,,43280,
Age characteristics,      100 years and over,,,x,,x,,x,8230,,1340,,6890,
Age characteristics,Total - Distribution (%) of the population by broad age groups - 100% data,,,x,,x,,x,100,,100,,100,
Age characteristics,  0 to 14 years,,,x,,x,,x,16.6,,17.3,,15.9,
Age characteristics,  15 to 64 years,,,x,,x,,x,66.5,,67.1,,66,
Age characteristics,  65 years and over,,,x,,x,,x,16.9,,15.6,,18.1,
Age characteristics,    85 years and over,,,x,,x,,x,2.2,,1.6,,2.8,
Age characteristics,Average age of the population,,,x,,x,,x,41,,40.1,,41.9,
Age characteristics,Median age of the population,,,x,,x,,x,41.2,,40.2,,42.2,
Household and dwelling characteristics,Total - Occupied private dwellings by structural type of dwelling - 100% data,5,,x,,...,,...,14072080,,,...,,...
Household and dwelling characteristics,  Single-detached house,,,x,,...,,...,7541495,,,...,,...
Household and dwelling characteristics,  Apartment in a building that has five or more storeys,,,x,,...,,...,1391040,,,...,,...
Household and dwelling characteristics,  Other attached dwelling,6,,x,,...,,...,4949795,,,...,,...
Household and dwelling characteristics,    Semi-detached house,,,x,,...,,...,698800,,,...,,...
Household and dwelling characteristics,    Row house,,,x,,...,,...,891305,,,...,,...
Household and dwelling characteristics,    Apartment or flat in a duplex,,,x,,...,,...,784300,,,...,,...
Household and dwelling characteristics,    Apartment in a building that has fewer than five storeys,,,x,,...,,...,2539390,,,...,,...
Household and dwelling characteristics,    Other single-attached house,,,x,,...,,...,36005,,,...,,...
Household and dwelling characteristics,  Movable dwelling,7,,x,,...,,...,189755,,,...,,...
Household and dwelling characteristics,Total - Private households by household size - 100% data,8,,x,,...,,...,14072080,,,...,,...
Household and dwelling characteristics,  1 person,,,x,,...,,...,3969790,,,...,,...
Household and dwelling characteristics,  2 persons,,,x,,...,,...,4834605,,,...,,...
Household and dwelling characteristics,  3 persons,,,x,,...,,...,2140640,,,...,,...
Household and dwelling characteristics,  4 persons,,,x,,...,,...,1946275,,,...,,...
Household and dwelling characteristics,  5 or more persons,,,x,,...,,...,1180770,,,...,,...
Household and dwelling characteristics,Number of persons in private households,,,x,,...,,...,34460060,,,...,,...
Household and dwelling characteristics,Average household size,,,x,,...,,...,2.4,,,...,,...
Marital status,Total - Marital status for the population aged 15 years and over - 100% data,9,,x,,x,,x,29312160,,14271280,,15040885,
Marital status,  Married or living common law,,,x,,x,,x,16893720,,8452135,,8441585,
Marital status,    Married,,,x,,x,,x,13383455,,6693465,,6689990,
Marital status,    Living common law,,,x,,x,,x,3510265,,1758670,,1751590,
Marital status,  Not married and not living common law,,,x,,x,,x,12418440,,5819140,,6599300,
Marital status,    Never married,,,x,,x,,x,8254340,,4444425,,3809915,
Marital status,    Separated,,,x,,x,,x,718295,,309905,,408400,
Marital status,    Divorced,,,x,,x,,x,1816005,,725535,,1090470,
Marital status,    Widowed,,,x,,x,,x,1629800,,339280,,1290525,
Family characteristics,Total - Census families in private households by family size - 100% data,10,,x,,...,,...,9840730,,,...,,...
Family characteristics,  2 persons,,,x,,...,,...,5007790,,,...,,...
Family characteristics,  3 persons,,,x,,...,,...,2107830,,,...,,...
Family characteristics,  4 persons,,,x,,...,,...,1909935,,,...,,...
Family characteristics,  5 or more persons,,,x,,...,,...,815170,,,...,,...
Family characteristics,Average size of census families,,,x,,...,,...,2.9,,,...,,...
Family characteristics,Total number of census families in private households - 100% data,11,,x,,...,,...,9840730,,,...,,...
Family characteristics,  Total couple families,,,x,,...,,...,8227925,,,...,,...
Family characteristics,    Married couples,,,x,,...,,...,6474005,,,...,,...
Family characteristics,    Common-law couples,,,x,,...,,...,1753920,,,...,,...
Family characteristics,  Total lone-parent families by sex of parent,,,x,,...,,...,1612805,,,...,,...
Family characteristics,    Female parent,,,x,,...,,...,1262340,,,...,,...
Family characteristics,    Male parent,,,x,,...,,...,350465,,,...,,...
Family characteristics,Total - Couple census families in private households - 100% data,,,x,,...,,...,8227925,,,...,,...
Family characteristics,  Couples without children,,,x,,...,,...,4024305,,,...,,...
Family characteristics,  Couples with children,,,x,,...,,...,4203615,,,...,,...
Family characteristics,    1 child,,,x,,...,,...,1650165,,,...,,...
Family characteristics,    2 children,,,x,,...,,...,1783080,,,...,,...
Family characteristics,    3 or more children,,,x,,...,,...,770375,,,...,,...
Family characteristics,Total - Lone-parent census families in private households - 100% data,,,x,,...,,...,1612805,,,...,,...
Family characteristics,  1 child,,,x,,...,,...,983485,,,...,,...
Family characteristics,  2 children,,,x,,...,,...,457670,,,...,,...
Family characteristics,  3 or more children,,,x,,...,,...,171655,,,...,,...
Family characteristics,Total - Persons not in census families in private households - 100% data,,,x,,x,,x,6107260,,2941395,,3165865,
Household type,Total - Private households by household type - 100% data,12,,x,,...,,...,14072075,,,...,,...
Household type,  One-census-family households,,,x,,...,,...,9218225,,,...,,...
Household type,    Without children in a census family,13,,x,,...,,...,3782095,,,...,,...
Household type,    With children in a census family,14,,x,,...,,...,5436135,,,...,,...
Household type,  Multiple-census-family households,,,x,,...,,...,301715,,,...,,...
Household type,  Non-census-family households,,,x,,...,,...,4552135,,,...,,...
Household type,    One-person households,,,x,,...,,...,3969790,,,...,,...
Household type,    Two-or-more person non-census-family households,,,x,,...,,...,582350,,,...,,...
Knowledge of official languages,Total - Knowledge of official languages for the total population excluding institutional residents - 100% data,15,,x,,x,,x,34767255,,17101170,,17666080,
Knowledge of official languages,  English only,,,x,,x,,x,23757525,,11838075,,11919455,
Knowledge of official languages,  French only,,,x,,x,,x,4144685,,1925845,,2218840,
Knowledge of official languages,  English and French,,,x,,x,,x,6216065,,3071325,,3144740,
Knowledge of official languages,  Neither English nor French,,,x,,x,,x,648970,,265920,,383045,
First official language spoken,Total - First official language spoken for the total population excluding institutional residents - 100% data,16,,x,,x,,x,34767250,,17101165,,17666085,
First official language spoken,  English,,,x,,x,,x,26007500,,12852330,,13155165,
First official language spoken,  French,,,x,,x,,x,7705755,,3780105,,3925650,
First official language spoken,  English and French,,,x,,x,,x,417485,,209130,,208355,
First official language spoken,  Neither English nor French,,,x,,x,,x,636515,,259600,,376910,
First official language spoken,Official language minority (number),17,,x,,x,,x,7914495,,3884670,,4029825,
First official language spoken,Official language minority (percentage),17,,x,,x,,x,22.8,,22.7,,22.8,
Mother tongue,Total - Mother tongue for the total population excluding institutional residents - 100% data,18,,x,,x,,x,34767255,,17101170,,17666085,
Mother tongue,  Single responses,,,x,,x,,x,33948620,,16702840,,17245775,
Mother tongue,    Official languages,,,x,,x,,x,26627555,,13201620,,13425940,
Mother tongue,      English,,,x,,x,,x,19460850,,9680125,,9780725,
Mother tongue,      French,,,x,,x,,x,7166705,,3521495,,3645215,
Mother tongue,    Non-official languages,,,x,,x,,x,7321065,,3501220,,3819840,
Mother tongue,      Aboriginal languages,,,x,,x,,x,195700,,94795,,100900,
Mother tongue,        Algonquian languages,,,x,,x,,x,130450,,62930,,67520,
Mother tongue,          Blackfoot,,,x,,x,,x,2815,,1325,,1490,
